,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link
41559999,Yes,,,No,Full Bar,,No,,Yes,,,Yes,Yes,No,"Garage, Street",Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,4,378,https://www.yelp.com/biz/dark-horse-new-york?start=0
41199571,Yes,,,No,Full Bar,,Yes,,No,Yes,,,No,No,Street,No,,No,Yes,,Yes,,Free,,Yes,Trendy,Casual,,,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,3.5,148,https://www.yelp.com/biz/bar-belly-new-york?start=0
41446051,Yes,,,Yes,,,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,Moderate,A,4,177,https://www.yelp.com/biz/staybridge-suites-times-square-new-york-city-new-york-2?start=0
41464512,Yes,No,,No,Full Bar,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,4,826,https://www.yelp.com/biz/the-candle-cafe-new-york-3?start=0
41161346,Yes,,,Yes,Beer & Wine Only,,No,,Yes,,,,No,Yes,Street,Yes,,Yes,No,,,,No,,,Casual,,,,No,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,3.5,83,https://www.yelp.com/biz/le-basket-new-york?start=0
50066915,Yes,,,,,,,,No,,,,,Yes,,,,No,No,,,,Free,,,,,,,No,No,,,,,,TRY21-50,,4,3,https://www.yelp.com/biz/starbucks-istanbul-84?start=0
40574293,No,,,No,No,,No,,No,,,,No,Yes,Street,Yes,,Yes,No,No,Yes,,No,,Yes,Divey,,,,No,Yes,"Breakfast, Brunch",,Average,,,Under $10,B,4,330,https://www.yelp.com/biz/la-bonbonniere-new-york?start=0
41651780,Yes,,,,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,,,,Casual,,,,No,,,,Average,,No,Moderate,A,4,112,https://www.yelp.com/biz/the-guthrie-inn-new-york?start=0
41305028,Yes,,,,Full Bar,,No,,Yes,,,,No,Yes,Street,Yes,,No,Yes,,,,Free,,,Casual,Casual,"Wed, Thu, Fri",,Yes,No,"Lunch, Dinner",,Average,,,$31-60,A,3,160,https://www.yelp.com/biz/madison-and-vine-new-york?start=0
50064590,Yes,No,,,Full Bar,,No,Yes,Yes,No,,Yes,Yes,No,Street,No,,Yes,No,,Yes,Yes,Free,,,"Casual, Trendy",Casual,,No,Yes,No,,,Average,,No,$11-30,A,4,41,https://www.yelp.com/biz/sapoara-wood-roasting-grill-and-bar-new-york-2?start=0
40512852,Yes,,,No,Full Bar,,Yes,No,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Thu, Fri, Sun",No,Yes,No,,Live,Average,,No,$11-30,A,3.5,226,https://www.yelp.com/biz/doc-watsons-new-york?start=0
50045112,Yes,,,No,Full Bar,,No,,No,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,Casual,"Wed, Fri, Sat",No,Yes,No,"Lunch, Dinner, Late Night",,Loud,,No,$11-30,A,3.5,175,https://www.yelp.com/biz/blarney-rock-pub-new-york?start=0
41599313,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,120,https://www.yelp.com/biz/the-manchester-diner-new-york?start=0
40403880,Yes,,,No,Full Bar,,Yes,,Yes,,,,No,Yes,Street,Yes,,Yes,Yes,,,,No,,Yes,Trendy,Casual,"Mon, Fri, Sat",No,Yes,No,"Brunch, Dinner, Late Night",,Loud,,No,$11-30,A,3.5,3077,https://www.yelp.com/biz/cafeteria-new-york?start=0
40559633,Yes,,,No,,,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,Moderate,,2,133,https://www.yelp.com/biz/the-watson-hotel-new-york?start=0
40553443,Yes,No,,No,Full Bar,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,Yes,Yes,Free,,Yes,Casual,Casual,"Thu, Fri, Sat",No,Yes,No,"Brunch, Dinner",,Average,,No,$11-30,A,4,736,https://www.yelp.com/biz/distilled-new-york?start=0
